AffixID|AffixName|LevelReq|Weight
656|Sentinel Endurance While Warpathing|5|15
663|Primalist Armour Shred Chance for Locusts|49|15
665|Primalist Upheaval Shockwave Chance|38|15
666|Primalist Attack and Cast Speed for Summoned Vines|33|15
667|Primalist Critical Strike Chance with Rampage|42|15
101|Increased Area for Area Skills|32|120
669|Added Bow Lightning Damage|8|540
670|Added Bow Cold Damage|0|540
671|Area for Melee Area Skills|30|120
82|Extra Potion Slot And Potion Health|15|200
14|Freeze Rate Multiplier and Cold Resistance|15|1850
29|Hybrid Stun Avoidance|13|353
42|Lightning Damage And Leech|18|500
506|Spell Damage and Reduced Mana Cost|0|2355
507|Throwing Damage and Reduced Mana Cost|6|2000
36|Hybrid Health|45|120
332|Primalist Armour And Minion Armour|27|15
333|Primalist Shared Lightning Damage|48|15
340|Primalist Shared Cold Damage|36|15
343|Primalist Shared Bleed Duration|34|15
344|Primalist Shared Increased Spell Damage|27|15
345|Primalist Shared Increased Melee Damage|48|15
360|Sentinel Increased Physical Damage And Bleed Duration|60|15
361|Sentinel Increased Fire Damage And Ignite Duration|55|15
362|Sentinel Increased Void Damage And Added Spell Void Damage|53|15
397|Flame Ward Charge and Added Ward|60|15
404|Acolyte Shared Increased Fire Damage|36|15
405|Acolyte Shared Increased Necrotic Damage|36|15
406|Acolyte Shared Bleed Chance|57|15
407|Acolyte Shared Increased Bleed Duration|57|15
408|Acolyte Shared Physical Penetration With Bleed|57|15
409|Acolyte Shared Physical Leech|60|15
414|Acolyte Poison Damage And Poison Resistance|32|15
416|Acolyte Shared Increased Crit Chance|29|15
417|Acolyte Increased Projectile Speed With Marrow Shards And Bone Nova|45|15
418|Acolyte Increased Damage With Rip Blood And Blood Splatter|45|15
419|Acolyte Critical Strike Chance For Skeletons And Skeletal Mages|25|15
192|Acolyte +1 Skeleton and Increased Skeleton Damage|60|15
534|Rogue Black Arrows dropped by Dark Quiver and Increased Bow Damage|35|15
536|Rogue Max Ballista and Increased Ballista Attack Speed|18|15
537|Rogue Mirages and Mana Efficiency with Lethal Mirage|50|15
426|Block Chance and Effectiveness|13|1300
539|Primalist Level of Swipe|6|15
540|Primalist Level of Summon Wolf|4|10
541|Primalist Level of Tornado|25|10
542|Primalist Level of Fury Leap|4|10
543|Primalist Level of Summon Thorn Totem|4|10
544|Primalist Level of Summon Spriggan|30|10
545|Primalist Level of Summon Frenzy Totem|35|10
546|Mage Level of Elemental Nova|4|10
547|Mage Level of Mana Strike|6|10
548|Mage Fireball Pierce Chance|18|15
549|Mage Level of Fireball|7|10
550|Mage Level of Glacier|7|10
551|Mage Level of Meteor|25|10
552|Mage Level of Teleport|12|10
553|Mage Level of Volcanic Orb|17|10
554|Mage Level of Black Hole|50|10
555|Primalist Level of Summon Bear|25|10
556|Mage Level of Static Orb|4|10
557|Mage Level of Lightning Blast|4|10
558|Primalist Level of Serpent Strike|22|10
559|Primalist Level of Entangling Roots|25|10
560|Sentinel Level of Anomaly|50|10
561|Sentinel Level of Warpath|4|10
562|Sentinel Level of Devouring Orb|35|10
563|Sentinel Level of Rive|6|10
564|Sentinel Level of Hammer Throw|4|10
565|Sentinel Level of Shield Rush|12|10
566|Sentinel Level of Volatile Reversal|25|10
567|Sentinel Level of Abyssal Echoes|30|10
568|Sentinel Level of Erasing Strike|25|10
569|Sentinel Level of Vengeance|4|10
570|Sentinel Level of Shield Throw|17|10
572|Acolyte Level of Summon Skeleton|4|10
573|Acolyte Level of Infernal Shade|22|10
574|Acolyte Level of Sacrifice|30|10
575|Mage Level of Focus|22|10
576|Acolyte Level of Aura Of Decay|30|10
577|Acolyte Level of Hungering Souls|7|10
578|Acolyte Level of Rip Blood|4|10
579|Acolyte Level of Summon Wraith|25|10
580|Acolyte Level of Summon Bone Golem|12|10
581|Acolyte Level of Wandering Spirits|4|10
582|Acolyte Level of Marrow Shards|4|10
583|Acolyte Level of Transplant|13|10
584|Mage Level of Flame Reave|25|10
585|Primalist Level of Summon Storm Totem|25|10
586|Acolyte Level of Soul Feast|35|10
587|Mage Level of Snap Freeze|4|10
588|Sentinel Level of Lunge|4|10
589|Sentinel Level of Rebuke|7|10
590|Primalist Level of Summon Sabertooth|12|10
591|Primalist Level of Summon Scorpion|30|10
592|Sentinel Level of Ring Of Shields|25|10
594|Acolyte Level of Harvest|6|10
595|Primalist Level of Eterra's Blessing|7|10
596|Sentinel Level of Judgement|50|10
597|Mage Level of Shatter Strike|25|10
598|Mage Level of Enchant Weapon|30|10
599|Primalist Level of Avalanche|40|10
600|Sentinel Level of Sigils Of Hope|35|10
601|Sentinel Level of Holy Aura|25|10
602|Primalist Level of Werebear Form|25|10
603|Sentinel Level of Smite|22|10
604|Sentinel Level of Manifest Armor|35|10
605|Sentinel Level of Forge Strike|25|10
606|Primalist Level of Spriggan Form|35|10
607|Acolyte Level of Reaper Form|25|10
608|Rogue Level of Acid Flask|4|10
609|Rogue Level of Shadow Cascade|25|10
610|Rogue Level of Flurry|4|10
611|Rogue Level of Shurikens|4|10
612|Rogue Level of Dancing Strikes|25|10
613|Rogue Level of Multishot|25|10
614|Rogue Level of Puncture|5|10
615|Rogue Level of Decoy|12|10
616|Rogue Level of Cinder Strike|10|10
617|Rogue Level of Detonating Arrow|25|10
618|Rogue Level of Hail of Arrows|50|10
619|Rogue Level of Shift|4|10
620|Rogue Level of Synchronized Strike|30|10
621|Primalist Level of Tempest Strike|10|10
622|Primalist Level of Ice Thorns|4|10
623|Acolyte Level of Summon Skeletal Mage|25|10
624|Mage Level of Static|40|10
625|Mage Level of Disintegrate|35|10
626|Primalist Level of Maelstrom|17|10
627|Primalist Level of Summon Raptor|25|10
628|Mage Level of Flame Ward|9|10
629|Primalist Level of Earthquake|30|10
630|Mage Level of Arcane Ascendance|40|10
631|Sentinel Level of Smelter's Wrath|50|10
632|Acolyte Level of Drain Life|25|10
633|Acolyte Level of Assemble Abomination|60|10
634|Acolyte Level of Spirit Plague|17|10
635|Acolyte Level of Bone Curse|8|10
636|Acolyte Level of Death Seal|50|10
637|Mage Level of Ice Barrage|25|10
638|Rogue Level of Dark Quiver|35|10
639|Sentinel Level of Shield Bash|8|10
571|Acolyte Level of Dread Shade|50|10
593|Mage Level of Firebrand|50|10
640|Rogue Level of Ballista|17|10
641|Rogue Level of Lethal Mirage|50|10
642|Rogue Level of Smoke Bomb|7|10
644|Primalist Level of Warcry|14|10
645|Mage Level of Surge|55|10
646|Primalist Level of Summon Storm Crow|20|10
647|Acolyte Level of Summon Volatile Zombie|20|10
649|Acolyte Volatile Zombie Speed and Damage|28|15
67|Freeze Rate and Freezing Concoction on Potion Use|35|185
75|Ward and Ailment Cleansing on Potion Use|31|200
652|Sentinel Level of Multistrike|17|10
653|Sentinel Level of Void Cleave|19|10
654|Sentinel Level of Javelin|17|10
660|Primalist Level of Swarmblade Form|43|10
661|Primalist Level of Upheaval|15|10
662|Rogue Level of Umbral Blades|16|10
519|Rogue Lightning Damage with Shurikens|4|15
672|Crit Chance and Bow Attack Speed|44|150
