AffixName|AffixID|Type1|Property1|T1|T2|T3|T4|T5|T6|T7|Type2|Property2|MT1|MT2|MT3|MT4|MT5|MT6|MT7
Added Mana|34|ADDED|Mana|6-10|11-17|18-25|26-35|36-50|65-80|81-100|x|x|x|x|x|x|x|x|x
Added Melee Cold Damage|78|ADDED|Damage|3-6|7-10|11-15|16-20|21-26|36-44|45-55|x|x|x|x|x|x|x|x|x
Added Melee Crit Chance|62|ADDED|CriticalChance|0.01-0.01|0.02-0.02|0.03-0.03|0.04-0.04|0.05-0.05|0.07-0.08|0.09-0.1|x|x|x|x|x|x|x|x|x
Added Melee Fire Damage|77|ADDED|Damage|3-6|7-10|11-15|16-20|21-26|36-44|45-55|x|x|x|x|x|x|x|x|x
Added Melee Lightning Damage|79|ADDED|Damage|3-6|7-10|11-15|16-20|21-26|36-44|45-55|x|x|x|x|x|x|x|x|x
Added Melee Physical Damage|63|ADDED|Damage|3-6|7-10|11-15|16-20|21-26|36-44|45-55|x|x|x|x|x|x|x|x|x
Added Melee Void Damage|76|ADDED|Damage|3-6|7-10|11-15|16-20|21-26|36-44|45-55|x|x|x|x|x|x|x|x|x
Necrotic Resistance|10|ADDED|NecroticResistance|0.05-0.09|0.1-0.14|0.15-0.21|0.22-0.29|0.3-0.45|0.5-0.6|0.61-0.75|x|x|x|x|x|x|x|x|x
Poison Resistance|19|ADDED|PoisonResistance|0.05-0.09|0.1-0.14|0.15-0.21|0.22-0.29|0.3-0.45|0.5-0.6|0.61-0.75|x|x|x|x|x|x|x|x|x
Added Stun Avoidance|51|ADDED|StunAvoidance|21-50|51-100|101-170|171-250|251-350|450-550|551-750|x|x|x|x|x|x|x|x|x
Void Resistance|7|ADDED|VoidResistance|0.05-0.09|0.1-0.14|0.15-0.21|0.22-0.29|0.3-0.45|0.5-0.6|0.61-0.75|x|x|x|x|x|x|x|x|x
All Attributes|50|ADDED|AllAttributes|1-1|2-2|3-3|4-4|5-5|7-8|9-10|x|x|x|x|x|x|x|x|x
Attunement|504|ADDED|Attunement|1-1|2-2|3-4|5-6|7-8|10-12|13-16|x|x|x|x|x|x|x|x|x
Added Spell Damage For Swords|49|ADDED|Damage|3-5|6-8|9-11|12-14|15-24|30-38|39-48|x|x|x|x|x|x|x|x|x
Chance To Bleed|68|ADDED|AilmentChance|0.1-0.12|0.13-0.16|0.17-0.2|0.2-0.23|0.24-0.3|0.38-0.46|0.47-0.6|x|x|x|x|x|x|x|x|x
Chance To Blind|60|ADDED|AilmentChance|0.1-0.12|0.13-0.16|0.17-0.2|0.2-0.23|0.24-0.3|0.38-0.46|0.47-0.6|x|x|x|x|x|x|x|x|x
Chance To Chill|56|ADDED|AilmentChance|0.1-0.12|0.13-0.16|0.17-0.2|0.2-0.23|0.24-0.3|0.38-0.46|0.47-0.6|x|x|x|x|x|x|x|x|x
Chance To Chill Attackers|47|ADDED|ChillRetaliationChance|0.21-0.3|0.31-0.4|0.41-0.55|0.56-0.75|0.76-1|1.3-1.7|1.71-2.2|x|x|x|x|x|x|x|x|x
Chance To Ignite|55|ADDED|AilmentChance|0.1-0.12|0.13-0.16|0.17-0.2|0.2-0.23|0.24-0.3|0.38-0.46|0.47-0.6|x|x|x|x|x|x|x|x|x
Chance To Poison|54|ADDED|AilmentChance|0.1-0.12|0.13-0.16|0.17-0.2|0.2-0.23|0.24-0.3|0.38-0.46|0.47-0.6|x|x|x|x|x|x|x|x|x
Chance To Shock|85|ADDED|AilmentChance|0.1-0.12|0.13-0.16|0.17-0.2|0.2-0.23|0.24-0.3|0.38-0.46|0.47-0.6|x|x|x|x|x|x|x|x|x
Chance To Shock Attackers|94|ADDED|ShockRetaliationChance|0.21-0.3|0.31-0.4|0.41-0.55|0.56-0.75|0.76-1|1.3-1.7|1.71-2.2|x|x|x|x|x|x|x|x|x
Chance To Slow|57|ADDED|AilmentChance|0.1-0.12|0.13-0.16|0.17-0.2|0.2-0.23|0.24-0.3|0.38-0.46|0.47-0.6|x|x|x|x|x|x|x|x|x
Chance To Slow Attackers|48|ADDED|SlowRetaliationChance|0.21-0.3|0.31-0.4|0.41-0.55|0.56-0.75|0.76-1|1.3-1.7|1.71-2.2|x|x|x|x|x|x|x|x|x
Critical Strike Avoidance|97|ADDED|CritAvoidance|0.05-0.09|0.1-0.14|0.15-0.19|0.2-0.24|0.25-0.37|0.46-0.6|0.61-0.75|x|x|x|x|x|x|x|x|x
Damage Dealt To Mana|53|ADDED|ManaBeforeHealthPercent|0.04-0.04|0.05-0.05|0.06-0.06|0.07-0.07|0.08-0.1|0.12-0.15|0.16-0.2|x|x|x|x|x|x|x|x|x
Dexterity|503|ADDED|Dexterity|1-1|2-2|3-4|5-6|7-8|10-12|13-16|x|x|x|x|x|x|x|x|x
Freeze Rate Multiplier|11|ADDED|FreezeRateMultiplier|0.2-0.35|0.36-0.6|0.61-0.9|0.91-1.3|1.31-1.8|2.3-3|3.01-4|x|x|x|x|x|x|x|x|x
Health On Kill|20|ADDED|HealthGain|2-2|3-4|5-6|7-8|9-12|18-26|27-36|x|x|x|x|x|x|x|x|x
Health On Melee Hit|44|ADDED|HealthGain|2-3|4-6|7-9|10-12|13-16|21-29|30-40|x|x|x|x|x|x|x|x|x
Health Regen|90|ADDED|HealthRegen|2-3|4-5|6-7|8-10|11-14|18-23|24-30|x|x|x|x|x|x|x|x|x
Increased Armour|1|INCREASED|Armour|0.1-0.12|0.13-0.16|0.17-0.21|0.22-0.26|0.27-0.32|0.4-0.48|0.49-0.6|x|x|x|x|x|x|x|x|x
All Resistances|46|ADDED|AllResistances|0.05-0.05|0.06-0.06|0.07-0.08|0.09-0.1|0.11-0.14|0.18-0.23|0.24-0.3|x|x|x|x|x|x|x|x|x
Increased Cast Speed|4|INCREASED|CastSpeed|0.04-0.05|0.06-0.07|0.08-0.09|0.1-0.11|0.12-0.15|0.18-0.23|0.24-0.3|x|x|x|x|x|x|x|x|x
Increased Chance To Find Potions|65|ADDED|IncreasedPotionDropRate|0.12-0.22|0.23-0.31|0.32-0.4|0.41-0.49|0.5-0.6|0.75-0.99|1-1.2|x|x|x|x|x|x|x|x|x
Increased Cold Damage|16|INCREASED|Damage|0.06-0.12|0.13-0.21|0.22-0.3|0.31-0.39|0.4-0.6|0.75-0.95|0.96-1.2|x|x|x|x|x|x|x|x|x
Increased Cooldown Recovery Speed|27|ADDED|IncreasedCooldownRecoverySpeed|0.05-0.06|0.07-0.09|0.1-0.12|0.13-0.15|0.16-0.2|0.24-0.27|0.28-0.32|x|x|x|x|x|x|x|x|x
Increased Critical Strike Chance|5|INCREASED|CriticalChance|0.15-0.2|0.21-0.25|0.26-0.3|0.31-0.35|0.36-0.5|0.6-0.75|0.76-1|x|x|x|x|x|x|x|x|x
Increased Damage Over Time|72|INCREASED|Damage|0.06-0.12|0.13-0.21|0.22-0.3|0.31-0.39|0.4-0.6|0.75-0.95|0.96-1.2|x|x|x|x|x|x|x|x|x
Increased Dodge Rating|59|INCREASED|DodgeRating|0.1-0.14|0.15-0.19|0.2-0.24|0.25-0.29|0.3-0.38|0.48-0.6|0.61-0.75|x|x|x|x|x|x|x|x|x
Increased Elemental Damage|9|INCREASED|Damage|0.05-0.09|0.1-0.16|0.17-0.24|0.25-0.32|0.33-0.45|0.55-0.7|0.71-0.9|x|x|x|x|x|x|x|x|x
Increased Fire Damage|12|INCREASED|Damage|0.06-0.12|0.13-0.21|0.22-0.3|0.31-0.39|0.4-0.6|0.75-0.95|0.96-1.2|x|x|x|x|x|x|x|x|x
Increased Healing Effectiveness|43|ADDED|IncreasedHealing|0.1-0.2|0.2-0.35|0.36-0.5|0.51-0.65|0.66-0.83|1.05-1.3|1.31-1.7|x|x|x|x|x|x|x|x|x
Increased Health|52|INCREASED|Health|0.03-0.03|0.04-0.05|0.06-0.07|0.08-0.09|0.1-0.12|0.15-0.19|0.2-0.24|x|x|x|x|x|x|x|x|x
Increased Health Regen|22|INCREASED|HealthRegen|0.05-0.15|0.16-0.25|0.26-0.35|0.36-0.45|0.46-0.7|0.9-1.1|1.11-1.4|x|x|x|x|x|x|x|x|x
Increased Lightning Damage|23|INCREASED|Damage|0.06-0.12|0.13-0.21|0.22-0.3|0.31-0.39|0.4-0.6|0.75-0.95|0.96-1.2|x|x|x|x|x|x|x|x|x
Increased Mana Regen|330|INCREASED|ManaRegen|0.1-0.14|0.15-0.19|0.2-0.24|0.25-0.29|0.3-0.35|0.4-0.45|0.46-0.55|x|x|x|x|x|x|x|x|x
Increased Melee Attack Speed|2|INCREASED|AttackSpeed|0.04-0.05|0.06-0.07|0.08-0.09|0.1-0.11|0.12-0.15|0.18-0.23|0.24-0.3|x|x|x|x|x|x|x|x|x
Increased Melee Damage|89|INCREASED|Damage|0.06-0.12|0.13-0.21|0.22-0.3|0.31-0.39|0.4-0.6|0.75-0.95|0.96-1.2|x|x|x|x|x|x|x|x|x
Increased Melee Stun Chance|91|ADDED|IncreasedStunChance|0.4-0.55|0.56-0.75|0.76-0.95|0.96-1.15|1.16-1.4|1.8-2.2|2.21-2.8|x|x|x|x|x|x|x|x|x
Increased Minion Damage|26|INCREASED|Damage|0.06-0.12|0.13-0.21|0.22-0.3|0.31-0.39|0.4-0.6|0.75-0.95|0.96-1.2|x|x|x|x|x|x|x|x|x
Increased Minion Physical Damage|64|INCREASED|Damage|0.1-0.2|0.21-0.3|0.31-0.4|0.41-0.5|0.51-0.7|0.9-1.1|1.11-1.4|x|x|x|x|x|x|x|x|x
Increased Movement Speed|28|INCREASED|Movespeed|0.05-0.07|0.08-0.09|0.1-0.11|0.12-0.14|0.15-0.18|0.22-0.25|0.26-0.3|x|x|x|x|x|x|x|x|x
Increased Necrotic Damage|18|INCREASED|Damage|0.06-0.12|0.13-0.21|0.22-0.3|0.31-0.39|0.4-0.6|0.75-0.95|0.96-1.2|x|x|x|x|x|x|x|x|x
Necrotic Penetration|93|ADDED|Penetration|0.04-0.04|0.05-0.05|0.06-0.06|0.07-0.07|0.08-0.09|0.11-0.12|0.13-0.15|x|x|x|x|x|x|x|x|x
Increased Physical Damage|30|INCREASED|Damage|0.06-0.12|0.13-0.21|0.22-0.3|0.31-0.39|0.4-0.6|0.75-0.95|0.96-1.2|x|x|x|x|x|x|x|x|x
Increased Poison Damage|61|INCREASED|Damage|0.06-0.12|0.13-0.21|0.22-0.3|0.31-0.39|0.4-0.6|0.75-0.95|0.96-1.2|x|x|x|x|x|x|x|x|x
Poison Penetration|37|ADDED|Penetration|0.04-0.04|0.05-0.05|0.06-0.06|0.07-0.07|0.08-0.09|0.11-0.12|0.13-0.15|x|x|x|x|x|x|x|x|x
Armour Shred Chance|86|ADDED|AilmentChance|0.2-0.3|0.31-0.4|0.41-0.55|0.56-0.7|0.71-1|1.25-1.5|1.51-2|x|x|x|x|x|x|x|x|x
Increased Spell Crit Chance|84|INCREASED|CriticalChance|0.2-0.25|0.26-0.34|0.35-0.43|0.44-0.54|0.55-0.75|0.95-1.15|1.16-1.5|x|x|x|x|x|x|x|x|x
Increased Spell Damage|38|INCREASED|Damage|0.06-0.12|0.13-0.21|0.22-0.3|0.31-0.39|0.4-0.6|0.75-0.95|0.96-1.2|x|x|x|x|x|x|x|x|x
Increased Stun Chance|58|ADDED|IncreasedStunChance|0.15-0.25|0.26-0.35|0.36-0.45|0.46-0.6|0.61-0.8|1-1.3|1.31-1.7|x|x|x|x|x|x|x|x|x
Added Throwing Damage|88|ADDED|Damage|2-4|5-7|8-10|11-14|15-20|25-30|31-37|x|x|x|x|x|x|x|x|x
Increased Throwing Attack Speed|87|INCREASED|AttackSpeed|0.05-0.07|0.08-0.1|0.11-0.14|0.15-0.18|0.19-0.23|0.26-0.3|0.31-0.36|x|x|x|x|x|x|x|x|x
Increased Void Damage|15|INCREASED|Damage|0.06-0.12|0.13-0.21|0.22-0.3|0.31-0.39|0.4-0.6|0.75-0.95|0.96-1.2|x|x|x|x|x|x|x|x|x
Void Penetration|0|ADDED|Penetration|0.04-0.04|0.05-0.05|0.06-0.06|0.07-0.07|0.08-0.09|0.11-0.12|0.13-0.15|x|x|x|x|x|x|x|x|x
Intelligence|502|ADDED|Intelligence|1-1|2-2|3-4|5-6|7-8|10-12|13-16|x|x|x|x|x|x|x|x|x
Primalist Added Spell Damage With Tempest Strike|21|ADDED|AbilityProperty|20-23|24-28|29-34|35-40|41-50|65-80|81-100|x|x|x|x|x|x|x|x|x
Melee Health Leech|69|ADDED|HealthLeech|0.23-0.29|0.3-0.36|0.37-0.43|0.44-0.5|0.51-0.63|0.75-0.95|0.96-1.25|x|x|x|x|x|x|x|x|x
Minion Dodge Rating|71|ADDED|DodgeRating|35-65|66-100|101-160|161-250|251-400|500-650|651-1000|x|x|x|x|x|x|x|x|x
Minion Health|70|INCREASED|Health|0.15-0.35|0.36-0.55|0.56-0.75|0.76-1|1.01-1.5|1.9-2.3|2.31-3|x|x|x|x|x|x|x|x|x
Minion Health Regen|73|ADDED|HealthRegen|6-10|11-20|21-35|36-60|61-90|120-150|151-200|x|x|x|x|x|x|x|x|x
Percent Damage Reflected|96|ADDED|PercentReflect|0.05-0.07|0.08-0.1|0.11-0.13|0.14-0.17|0.18-0.25|0.3-0.36|0.37-0.5|x|x|x|x|x|x|x|x|x
Potion Health Converted to Ward|83|ADDED|PotionHealthConvertedToWard|0.1-0.14|0.15-0.19|0.2-0.24|0.25-0.29|0.3-0.35|0.5-0.7|0.71-1|x|x|x|x|x|x|x|x|x
Less Damage Taken on Block|74|INCREASED|DamageTaken|-0.04--0.04|-0.05--0.05|-0.06--0.06|-0.07--0.08|-0.09--0.1|-0.13--0.14|-0.15--0.17|x|x|x|x|x|x|x|x|x
Physical Penetration|33|ADDED|Penetration|0.04-0.04|0.05-0.05|0.06-0.06|0.07-0.07|0.08-0.09|0.11-0.12|0.13-0.15|x|x|x|x|x|x|x|x|x
Fire Penetration|32|ADDED|Penetration|0.04-0.04|0.05-0.05|0.06-0.06|0.07-0.07|0.08-0.09|0.11-0.12|0.13-0.15|x|x|x|x|x|x|x|x|x
Cold Penetration|35|ADDED|Penetration|0.04-0.04|0.05-0.05|0.06-0.06|0.07-0.07|0.08-0.09|0.11-0.12|0.13-0.15|x|x|x|x|x|x|x|x|x
Lightning Penetration|39|ADDED|Penetration|0.04-0.04|0.05-0.05|0.06-0.06|0.07-0.07|0.08-0.09|0.11-0.12|0.13-0.15|x|x|x|x|x|x|x|x|x
Strength|501|ADDED|Strength|1-1|2-2|3-4|5-6|7-8|10-12|13-16|x|x|x|x|x|x|x|x|x
Thorns|95|ADDED|Thorns|3-6|7-14|15-25|26-45|46-75|100-130|131-200|x|x|x|x|x|x|x|x|x
Vitality|505|ADDED|Vitality|1-1|2-2|3-4|5-6|7-8|10-12|13-16|x|x|x|x|x|x|x|x|x
Ward On Potion Use|66|ADDED|WardOnPotionUse|20-30|31-45|46-60|65-80|81-110|150-185|186-250|x|x|x|x|x|x|x|x|x
Increased Minion Damage Over Time|98|INCREASED|Damage|0.1-0.2|0.21-0.3|0.31-0.4|0.41-0.5|0.51-0.7|0.9-1.1|1.11-1.4|x|x|x|x|x|x|x|x|x
Ward Gained on Kill|99|ADDED|WardGain|3-5|6-8|9-11|12-14|15-19|24-30|31-38|x|x|x|x|x|x|x|x|x
Increased Elemental Damage Over Time|100|INCREASED|Damage|0.1-0.2|0.21-0.35|0.36-0.5|0.51-0.7|0.71-1.1|1.4-1.7|1.71-2.2|x|x|x|x|x|x|x|x|x
Increased Minion Spell Damage|102|INCREASED|Damage|0.1-0.2|0.21-0.3|0.31-0.4|0.41-0.5|0.51-0.7|0.9-1.1|1.11-1.4|x|x|x|x|x|x|x|x|x
Damage While Channelling|103|INCREASED|Damage|0.06-0.12|0.13-0.21|0.22-0.3|0.31-0.39|0.4-0.6|0.75-0.95|0.96-1.2|x|x|x|x|x|x|x|x|x
All Resistances While Channelling|104|ADDED|AllResistances|0.05-0.06|0.07-0.08|0.09-0.12|0.13-0.16|0.17-0.22|0.28-0.36|0.37-0.48|x|x|x|x|x|x|x|x|x
Endurance|92|ADDED|Endurance|0.03-0.04|0.05-0.06|0.07-0.08|0.09-0.1|0.11-0.15|0.2-0.24|0.25-0.3|x|x|x|x|x|x|x|x|x
Physical Resistance|45|ADDED|PhysicalResistance|0.05-0.09|0.1-0.14|0.15-0.21|0.22-0.29|0.3-0.45|0.5-0.6|0.61-0.75|x|x|x|x|x|x|x|x|x
Idol Health|105||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Physical Resistance|430||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Increased Health|107||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Increased Health Regen|108||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mana|109||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Armour|110||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Fire Resistance|111||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Cold Resistance|112||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Lightning Resistance|113||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Necrotic Resistance|114||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Void Resistance|115||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Poison Resistance|116||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Elemental Resistance|117||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Dodge Rating|118||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Increased Damage Over Time|119||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Chance To Gain 30 Ward When Hit|120||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Increased Stun Chance|121||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Ward On Potion Use|122||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Potion Health Converted To Ward|123||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Vitality|124||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Elemental Resistance While Transformed|125||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Cold Bleed Chance|126||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Increased Fire Damage Over Time|127||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Bleed Duration|128||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Totem Armor|131||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Increased Totem Health|130||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Increased Health Regen While Transformed|132||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Totem Elemental Resistance|133||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Increased Critical Strike Chance|134||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Increased Healing Effectiveness|135||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Stun Avoidance|136||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Freeze Rate Multiplier|137||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Bleed Chance|138||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Ignite Chance|139||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Poison Chance|140||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Shock Chance|141||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Ward Retention|142||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Increased Stun Duration|143||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Increased Totem Cast Speed|144||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Minion Dodge Rating|145||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Minion Melee Health Leech|146||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Minion Melee Attack Speed|147||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Minion Increased Cooldown Recovery Speed|148||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Minion Increased Healing Effectiveness|149||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Minion Increased Melee Stun Chance|150||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Minion Increased Critical Strike Chance|151||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Minion Bleed Chance|152||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Minion Poison Chance|153||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Minion Melee Critical Strike Chance|154||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mage Spell Damage Leeched While Channelling|155||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Increased Melee Damage While Transformed|156||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Increased Spell Damage While Transformed|157||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Increased Damage Over Time While Transformed|158||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Melee Critical Strike Multiplier While Transformed|159||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Chance To Apply Frostbite With Cold Skills|163||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Totem Critical Strike Chance|164||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mage Less Damage Over Time Taken While Channelling|165||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mage Chance To Apply Frostbite With Cold Skills|166||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mage Increased Frostbite Duration|174||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mage Increased Cold Damage Over Time|176||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mage Increased Fire Damage Over Time|177||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mage Ward Generated Per Second|178||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mage Chance to Gain 20 Ward on Melee Hit|175||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mage Increased Melee Elemental Damage|179||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mage Chance To Ignite With Fire Skills|180||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mage Chance To Shock With Lightning Skills|181||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mage Fire Penetration With Ignite|182||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mage Cold Penetration With Frostbite|183||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mage Increased Shock Duration|184||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mage Increased Critical Strike Chance With Lightning Skills|185||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mage Melee Fire Damage|186||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mage Melee Lightning Damage|187||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mage Melee Cold Damage|188||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mage Spell Fire Damage|189||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mage Lightning Spell Damage|190||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mage Spell Cold Damage|191||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Increased Physical Damage Over Time|193||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Increased Spell Blind Chance|194||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Mana Efficiency For Void Spells|195||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Increased Armor|196||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Block Effectiveness|197||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Armor Shred Chance|198||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Throwing Attack Critical Strike Multiplier|199||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Increased Throwing Attack Stun Chance|200||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Increased Time Rot Duration|201||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Fire Damage Taken As Physical|202||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Lightning Damage Taken As Physical|203||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Cold Damage Taken As Physical|204||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
