AffixName|AffixID|AffixTitle|canRollOn|rerollChance|T1|T2|T3|T4|T5|T6|T7|Type|HueShift|Saturation|Group
Necrotic Resistance|10|of Purity|HELMET,BODY_ARMOR,BELT,BOOTS,GLOVES,SHIELD,CATALYST,AMULET,RING,RELIC,QUIVER|0|0.05-0.09|0.1-0.14|0.15-0.21|0.22-0.29|0.3-0.45|0.5-0.6|0.61-0.75|SUFFIX|0.443|0|PassiveDefense
Freeze Rate Multiplier|11|of Freezing|WAND,ONE_HANDED_SCEPTRE,TWO_HANDED_STAFF,CATALYST|0|0.2-0.35|0.36-0.6|0.61-0.9|0.91-1.3|1.31-1.8|2.3-3|3.01-4|SUFFIX|0.542|0|ActiveDefense
Increased Fire Damage|12|Pyromancer's|ONE_HANDED_AXE,ONE_HANDED_DAGGER,ONE_HANDED_MACES,ONE_HANDED_SCEPTRE,ONE_HANDED_SWORD,ONE_HANDED_FIST,TWO_HANDED_AXE,TWO_HANDED_MACE,WAND,TWO_HANDED_SPEAR,TWO_HANDED_STAFF,TWO_HANDED_SWORD,QUIVER,CATALYST,AMULET,RING,RELIC,BELT,BOW,CROSSBOW|0.5|0.06-0.12|0.13-0.21|0.22-0.3|0.31-0.39|0.4-0.6|0.75-0.95|0.96-1.2|PREFIX|0.025|0|OffensiveIncrease
Fire Resistance|13|of Embers|HELMET,BODY_ARMOR,BELT,BOOTS,GLOVES,SHIELD,CATALYST,AMULET,RING,RELIC,QUIVER|0.3|0.05-0.09|0.1-0.14|0.15-0.21|0.22-0.29|0.3-0.45|0.5-0.6|0.61-0.75|SUFFIX|0.025|0|PassiveDefense
Freeze Rate Multiplier and Cold Resistance|14|Glacial|RING,RELIC,AMULET,GLOVES|0|0.2-0.4|0.41-0.65|0.66-1|1.01-1.4|1.41-1.8|2.2-2.7|2.71-3.5|PREFIX|0.499|0|Hybrid
Increased Void Damage|15|Abyssal|ONE_HANDED_AXE,ONE_HANDED_MACES,ONE_HANDED_SCEPTRE,ONE_HANDED_SWORD,ONE_HANDED_FIST,TWO_HANDED_AXE,TWO_HANDED_MACE,TWO_HANDED_SPEAR,TWO_HANDED_STAFF,TWO_HANDED_SWORD,BELT,RING,AMULET,RELIC|0.4|0.06-0.12|0.13-0.21|0.22-0.3|0.31-0.39|0.4-0.6|0.75-0.95|0.96-1.2|PREFIX|0.779|0|OffensiveIncrease
Increased Cold Damage|16|Cryomancer's|ONE_HANDED_AXE,ONE_HANDED_DAGGER,ONE_HANDED_MACES,ONE_HANDED_SCEPTRE,ONE_HANDED_SWORD,WAND,ONE_HANDED_FIST,TWO_HANDED_AXE,TWO_HANDED_MACE,TWO_HANDED_SPEAR,TWO_HANDED_STAFF,TWO_HANDED_SWORD,QUIVER,CATALYST,AMULET,RING,RELIC,BELT,BOW,CROSSBOW|0.5|0.06-0.12|0.13-0.21|0.22-0.3|0.31-0.39|0.4-0.6|0.75-0.95|0.96-1.2|PREFIX|0.534|0|OffensiveIncrease
Cold Resistance|17|of Frost|HELMET,BODY_ARMOR,BELT,BOOTS,GLOVES,SHIELD,CATALYST,AMULET,RING,RELIC,QUIVER|0.3|0.05-0.09|0.1-0.14|0.15-0.21|0.22-0.29|0.3-0.45|0.5-0.6|0.61-0.75|SUFFIX|0.53|0|PassiveDefense
Increased Necrotic Damage|18|Occultist's|ONE_HANDED_AXE,ONE_HANDED_DAGGER,ONE_HANDED_MACES,ONE_HANDED_SCEPTRE,ONE_HANDED_SWORD,WAND,ONE_HANDED_FIST,TWO_HANDED_AXE,TWO_HANDED_MACE,TWO_HANDED_SPEAR,TWO_HANDED_STAFF,TWO_HANDED_SWORD,CATALYST,AMULET,RING,RELIC,BELT|0|0.06-0.12|0.13-0.21|0.22-0.3|0.31-0.39|0.4-0.6|0.75-0.95|0.96-1.2|PREFIX|0.468|0|OffensiveIncrease
Poison Resistance|19|of Remedy|HELMET,BODY_ARMOR,BELT,BOOTS,GLOVES,SHIELD,CATALYST,AMULET,RING,RELIC,QUIVER|0|0.05-0.09|0.1-0.14|0.15-0.21|0.22-0.29|0.3-0.45|0.5-0.6|0.61-0.75|SUFFIX|0.249|0|PassiveDefense
Health On Kill|20|of Glory|ONE_HANDED_AXE,ONE_HANDED_DAGGER,ONE_HANDED_MACES,ONE_HANDED_SCEPTRE,ONE_HANDED_SWORD,TWO_HANDED_AXE,TWO_HANDED_MACE,TWO_HANDED_SPEAR,TWO_HANDED_STAFF,TWO_HANDED_SWORD,BOW,QUIVER|0|2-2|3-4|5-6|7-8|9-12|18-26|27-36|SUFFIX|0.11|-0.26|ActiveDefense
Primalist Added Spell Damage With Tempest Strike|21||HELMET|0.89|20-23|24-28|29-34|35-40|41-50|65-80|81-100|PREFIX|0.54|0|OffensiveAddition
Increased Health Regen|22|of Regrowth|HELMET,BODY_ARMOR,BELT,BOOTS,GLOVES,AMULET,RING,RELIC|0|0.05-0.15|0.16-0.25|0.26-0.35|0.36-0.45|0.46-0.7|0.9-1.1|1.11-1.4|SUFFIX|0.015|0|PassiveDefense
Increased Lightning Damage|23|Conduit's|ONE_HANDED_AXE,ONE_HANDED_DAGGER,ONE_HANDED_MACES,ONE_HANDED_SCEPTRE,ONE_HANDED_SWORD,WAND,ONE_HANDED_FIST,TWO_HANDED_AXE,TWO_HANDED_MACE,TWO_HANDED_SPEAR,TWO_HANDED_STAFF,TWO_HANDED_SWORD,QUIVER,CATALYST,AMULET,RING,RELIC,BELT,BOW,CROSSBOW|0.5|0.06-0.12|0.13-0.21|0.22-0.3|0.31-0.39|0.4-0.6|0.75-0.95|0.96-1.2|PREFIX|0.626|0|OffensiveIncrease
Lightning Resistance|24|of Sparks|HELMET,BODY_ARMOR,BELT,BOOTS,GLOVES,SHIELD,CATALYST,AMULET,RING,RELIC,QUIVER|0.3|0.05-0.09|0.1-0.14|0.15-0.21|0.22-0.29|0.3-0.45|0.5-0.6|0.61-0.75|SUFFIX|0.647|0|PassiveDefense
Added Health|25|of Life|HELMET,BODY_ARMOR,BELT,BOOTS,GLOVES,SHIELD,RING,RELIC,AMULET|0|5-15|16-25|26-40|41-55|56-75|95-115|116-150|SUFFIX|0.973|0|PassiveDefense
Increased Minion Damage|26|Commander's|QUIVER,CATALYST,AMULET,RING,RELIC,GLOVES,BELT|0|0.06-0.12|0.13-0.21|0.22-0.3|0.31-0.39|0.4-0.6|0.75-0.95|0.96-1.2|PREFIX|0.379|0|OffensiveIncrease
Increased Cooldown Recovery Speed|27|of Lucidity|BOOTS,BELT|0|0.05-0.06|0.07-0.09|0.1-0.12|0.13-0.15|0.16-0.2|0.24-0.27|0.28-0.32|SUFFIX|0.886|0|OffensiveAddition
Increased Movement Speed|28|Mercurial|BOOTS|0|0.05-0.07|0.08-0.09|0.1-0.11|0.12-0.14|0.15-0.18|0.22-0.25|0.26-0.3|PREFIX|0.193|-0.34|ActiveDefense
Hybrid Stun Avoidance|29|Monolithic|AMULET|0.8|20-40|41-80|81-140|141-210|211-300|400-500|501-650|PREFIX|0.183|0|Hybrid
Increased Physical Damage|30|Warrior's|ONE_HANDED_AXE,ONE_HANDED_DAGGER,ONE_HANDED_MACES,ONE_HANDED_SCEPTRE,ONE_HANDED_SWORD,WAND,RELIC,ONE_HANDED_FIST,TWO_HANDED_AXE,TWO_HANDED_MACE,TWO_HANDED_SPEAR,TWO_HANDED_STAFF,TWO_HANDED_SWORD,QUIVER,AMULET,RING,BELT,BOW,CROSSBOW,SHIELD|0|0.06-0.12|0.13-0.21|0.22-0.3|0.31-0.39|0.4-0.6|0.75-0.95|0.96-1.2|PREFIX|0.072|0|OffensiveIncrease
Added Armor|31|of the Turtle|HELMET,BODY_ARMOR,BOOTS,GLOVES,SHIELD|0|6-20|21-35|36-55|56-80|81-110|140-180|181-240|SUFFIX|0.591|-0.9|PassiveDefense
Fire Penetration|32|Dragon's|AMULET|0.7|0.04-0.04|0.05-0.05|0.06-0.06|0.07-0.07|0.08-0.09|0.11-0.12|0.13-0.15|PREFIX|0.015|0.118|OffensiveIncrease
Physical Penetration|33|Piercing|AMULET|0.7|0.04-0.04|0.05-0.05|0.06-0.06|0.07-0.07|0.08-0.09|0.11-0.12|0.13-0.15|PREFIX|0.079|-0.673|OffensiveIncrease
Added Mana|34|Manafused|RELIC,GLOVES,CATALYST,AMULET,HELMET,BODY_ARMOR|0|6-10|11-17|18-25|26-35|36-50|65-80|81-100|PREFIX|0.58|0|OffensiveAddition
Cold Penetration|35|Icebound|AMULET|0.7|0.04-0.04|0.05-0.05|0.06-0.06|0.07-0.07|0.08-0.09|0.11-0.12|0.13-0.15|PREFIX|0.535|-0.779|OffensiveIncrease
Hybrid Health|36|of the Giant|GLOVES,BOOTS,BELT|0.9|14-21|22-29|30-37|38-45|46-68|85-105|106-135|SUFFIX|0|-0.3|Hybrid
Poison Penetration|37|Serpentine|AMULET|0.7|0.04-0.04|0.05-0.05|0.06-0.06|0.07-0.07|0.08-0.09|0.11-0.12|0.13-0.15|PREFIX|0.328|-0.533|OffensiveIncrease
Increased Spell Damage|38|Imbued|ONE_HANDED_SCEPTRE,WAND,TWO_HANDED_STAFF,CATALYST,AMULET,RING|0|0.06-0.12|0.13-0.21|0.22-0.3|0.31-0.39|0.4-0.6|0.75-0.95|0.96-1.2|PREFIX|0.596|0|OffensiveIncrease
Lightning Penetration|39|Turbulent|AMULET|0.7|0.04-0.04|0.05-0.05|0.06-0.06|0.07-0.07|0.08-0.09|0.11-0.12|0.13-0.15|PREFIX|0.617|0.227|PassiveDefense
Leech Rate|40|of the Feast|GLOVES|0.8|0.12-0.17|0.18-0.23|0.24-0.29|0.3-0.35|0.36-0.45|0.55-0.7|0.71-1|SUFFIX|0.995|-0.169|PassiveDefense
Health Gained on Block|41|Unbreakable|SHIELD|0|3-3|4-4|5-6|7-8|9-12|15-19|20-25|PREFIX|0|-0.57|PassiveDefense
Lightning Damage And Leech|42|Voltaic|ONE_HANDED_SCEPTRE|0|3-4|5-6|7-8|9-11|12-15|19-24|25-30|PREFIX|0.614|1|Hybrid
Increased Healing Effectiveness|43|Cleric's|RING,AMULET,RELIC,SHIELD|0|0.1-0.2|0.2-0.35|0.36-0.5|0.51-0.65|0.66-0.83|1.05-1.3|1.31-1.7|PREFIX|0.142|1|ActiveDefense
Health On Melee Hit|44|of Hunger|ONE_HANDED_AXE,ONE_HANDED_DAGGER,ONE_HANDED_MACES,ONE_HANDED_SWORD,TWO_HANDED_AXE,TWO_HANDED_MACE,TWO_HANDED_SPEAR,TWO_HANDED_SWORD|0|2-3|4-6|7-9|10-12|13-16|21-29|30-40|SUFFIX|0|0.25|ActiveDefense
Physical Resistance|45|of Deflection|HELMET,BODY_ARMOR,BELT,BOOTS,GLOVES,SHIELD,RING,AMULET,RELIC,QUIVER|0|0.05-0.09|0.1-0.14|0.15-0.21|0.22-0.29|0.3-0.45|0.5-0.6|0.61-0.75|SUFFIX|0.052|-0.76|PassiveDefense
All Resistances|46|of Defiance|SHIELD|0.7|0.05-0.05|0.06-0.06|0.07-0.08|0.09-0.1|0.11-0.14|0.18-0.23|0.24-0.3|SUFFIX|0.537|-0.63|PassiveDefense
Chance To Chill Attackers|47|of the Tundra|SHIELD,CATALYST|0.5|0.21-0.3|0.31-0.4|0.41-0.55|0.56-0.75|0.76-1|1.3-1.7|1.71-2.2|SUFFIX|0.585|-0.5|Retaliation
Chance To Slow Attackers|48|of the Mire|SHIELD,CATALYST|0.5|0.21-0.3|0.31-0.4|0.41-0.55|0.56-0.75|0.76-1|1.3-1.7|1.71-2.2|SUFFIX|0.226|-0.85|Retaliation
Added Spell Damage For Swords|49|Spellblade's|ONE_HANDED_SWORD|0|3-5|6-8|9-11|12-14|15-24|30-38|39-48|PREFIX|0.646|-0.417|OffensiveAddition
All Attributes|50|of the Polymath|TWO_HANDED_AXE,TWO_HANDED_MACE,TWO_HANDED_SPEAR,TWO_HANDED_SWORD|0|1-1|2-2|3-3|4-4|5-5|7-8|9-10|SUFFIX|0.791|-1|OffensiveIncrease
Added Stun Avoidance|51|of Tenacity|BODY_ARMOR,CATALYST|0.5|21-50|51-100|101-170|171-250|251-350|450-550|551-750|SUFFIX|0.805|-0.6|PassiveDefense
Increased Health|52|of the Ox|BODY_ARMOR,HELMET,BELT|0|0.03-0.03|0.04-0.05|0.06-0.07|0.08-0.09|0.1-0.12|0.15-0.19|0.2-0.24|SUFFIX|0.91|-0.38|PassiveDefense
Damage Dealt To Mana|53||BODY_ARMOR,HELMET|0.85|0.04-0.04|0.05-0.05|0.06-0.06|0.07-0.07|0.08-0.1|0.12-0.15|0.16-0.2|PREFIX|0.591|0|PassiveDefense
Chance To Poison|54|of Venom|ONE_HANDED_AXE,ONE_HANDED_DAGGER,ONE_HANDED_MACES,ONE_HANDED_SCEPTRE,ONE_HANDED_SWORD,CROSSBOW,TWO_HANDED_AXE,TWO_HANDED_MACE,TWO_HANDED_SPEAR,TWO_HANDED_STAFF,TWO_HANDED_SWORD,BOW,QUIVER|0.5|0.1-0.12|0.13-0.16|0.17-0.2|0.2-0.23|0.24-0.3|0.38-0.46|0.47-0.6|SUFFIX|0.285|0|OffensiveAddition
Chance To Ignite|55|of Conflagration|ONE_HANDED_AXE,ONE_HANDED_DAGGER,ONE_HANDED_MACES,ONE_HANDED_SCEPTRE,ONE_HANDED_SWORD,WAND,TWO_HANDED_AXE,TWO_HANDED_MACE,TWO_HANDED_SPEAR,TWO_HANDED_STAFF,TWO_HANDED_SWORD,BOW,CROSSBOW,AMULET,QUIVER|0.5|0.1-0.12|0.13-0.16|0.17-0.2|0.2-0.23|0.24-0.3|0.38-0.46|0.47-0.6|SUFFIX|0.087|0|OffensiveAddition
Chance To Chill|56|of Sleet|ONE_HANDED_AXE,ONE_HANDED_DAGGER,ONE_HANDED_MACES,ONE_HANDED_SCEPTRE,ONE_HANDED_SWORD,WAND,TWO_HANDED_AXE,TWO_HANDED_MACE,TWO_HANDED_SPEAR,TWO_HANDED_STAFF,TWO_HANDED_SWORD,BOW,CROSSBOW,QUIVER|0.5|0.1-0.12|0.13-0.16|0.17-0.2|0.2-0.23|0.24-0.3|0.38-0.46|0.47-0.6|SUFFIX|0.534|-0.6|ActiveDefense
Chance To Slow|57|of Lethargy|ONE_HANDED_AXE,ONE_HANDED_DAGGER,ONE_HANDED_MACES,ONE_HANDED_SCEPTRE,ONE_HANDED_SWORD,WAND,TWO_HANDED_AXE,TWO_HANDED_MACE,TWO_HANDED_SPEAR,TWO_HANDED_STAFF,TWO_HANDED_SWORD,BOW,CROSSBOW,QUIVER|0.75|0.1-0.12|0.13-0.16|0.17-0.2|0.2-0.23|0.24-0.3|0.38-0.46|0.47-0.6|SUFFIX|0.199|0|ActiveDefense
Increased Stun Chance|58|of Stillness|ONE_HANDED_AXE,ONE_HANDED_DAGGER,ONE_HANDED_MACES,ONE_HANDED_SCEPTRE,ONE_HANDED_SWORD,WAND,TWO_HANDED_AXE,TWO_HANDED_MACE,TWO_HANDED_SPEAR,TWO_HANDED_STAFF,TWO_HANDED_SWORD,BOW,CROSSBOW,QUIVER,GLOVES|0|0.15-0.25|0.26-0.35|0.36-0.45|0.46-0.6|0.61-0.8|1-1.3|1.31-1.7|SUFFIX|0.158|-0.33|ActiveDefense
Increased Dodge Rating|59|of the Fox|BODY_ARMOR,BELT,BOOTS,ONE_HANDED_SWORD,AMULET|0.6|0.1-0.14|0.15-0.19|0.2-0.24|0.25-0.29|0.3-0.38|0.48-0.6|0.61-0.75|SUFFIX|0.224|0|PassiveDefense
Chance To Blind|60|of Blinding|ONE_HANDED_AXE,ONE_HANDED_DAGGER,ONE_HANDED_MACES,ONE_HANDED_SCEPTRE,ONE_HANDED_SWORD,WAND,TWO_HANDED_AXE,TWO_HANDED_MACE,TWO_HANDED_SPEAR,TWO_HANDED_STAFF,TWO_HANDED_SWORD,BOW,CROSSBOW,QUIVER|0.8|0.1-0.12|0.13-0.16|0.17-0.2|0.2-0.23|0.24-0.3|0.38-0.46|0.47-0.6|SUFFIX|0.697|0.04|ActiveDefense
Increased Poison Damage|61|Toxic|ONE_HANDED_AXE,ONE_HANDED_DAGGER,ONE_HANDED_MACES,ONE_HANDED_SCEPTRE,ONE_HANDED_SWORD,RELIC,ONE_HANDED_FIST,TWO_HANDED_AXE,TWO_HANDED_MACE,TWO_HANDED_SPEAR,TWO_HANDED_STAFF,TWO_HANDED_SWORD,QUIVER,CATALYST,AMULET,RING,BELT,BOW|0.3|0.06-0.12|0.13-0.21|0.22-0.3|0.31-0.39|0.4-0.6|0.75-0.95|0.96-1.2|PREFIX|0.26|0|OffensiveIncrease
Added Melee Crit Chance|62|Slayer's|ONE_HANDED_AXE,ONE_HANDED_DAGGER,ONE_HANDED_MACES,ONE_HANDED_SCEPTRE,ONE_HANDED_SWORD,TWO_HANDED_SWORD,ONE_HANDED_FIST,TWO_HANDED_AXE,TWO_HANDED_MACE,TWO_HANDED_SPEAR,TWO_HANDED_STAFF|0.2|0.01-0.01|0.02-0.02|0.03-0.03|0.04-0.04|0.05-0.05|0.07-0.08|0.09-0.1|PREFIX|0.168|0|OffensiveAddition
Added Melee Physical Damage|63|Marauder's|ONE_HANDED_AXE,ONE_HANDED_DAGGER,ONE_HANDED_MACES,ONE_HANDED_SCEPTRE,ONE_HANDED_SWORD,TWO_HANDED_SWORD,ONE_HANDED_FIST,TWO_HANDED_AXE,TWO_HANDED_MACE,TWO_HANDED_SPEAR,TWO_HANDED_STAFF|0|3-6|7-10|11-15|16-20|21-26|36-44|45-55|PREFIX|0.137|0|OffensiveAddition
Increased Minion Physical Damage|64|of Authority|ONE_HANDED_SCEPTRE,TWO_HANDED_STAFF,BOW|0.5|0.1-0.2|0.21-0.3|0.31-0.4|0.41-0.5|0.51-0.7|0.9-1.1|1.11-1.4|SUFFIX|0.234|0|OffensiveIncrease
Increased Chance To Find Potions|65|Lucky|BELT,RING,AMULET|0.7|0.12-0.22|0.23-0.33|0.34-0.44|0.45-0.55|0.56-0.7|0.9-1.1|1.11-1.4|PREFIX|0.091|-0.028|ActiveDefense
Ward On Potion Use|66|Alchemist's|BELT,GLOVES,AMULET|0.6|20-30|31-45|46-60|65-80|81-110|150-185|186-250|PREFIX|0.573|-0.62|ActiveDefense
Freeze Rate and Freezing Concoction on Potion Use|67|Drenching|BELT|0.8|0.2-0.35|0.36-0.6|0.61-0.9|0.91-1.3|1.31-1.8|2.3-3|3.01-4|PREFIX|0.554|-0.555|ActiveDefense
Chance To Bleed|68|of Wounds|ONE_HANDED_AXE,ONE_HANDED_DAGGER,ONE_HANDED_SWORD,TWO_HANDED_AXE,TWO_HANDED_SPEAR,TWO_HANDED_SWORD,BOW,CROSSBOW,QUIVER|0.3|0.1-0.12|0.13-0.16|0.17-0.2|0.2-0.23|0.24-0.3|0.38-0.46|0.47-0.6|SUFFIX|0.969|0.4|OffensiveAddition
Melee Health Leech|69|Leeching|GLOVES,ONE_HANDED_AXE,ONE_HANDED_DAGGER,ONE_HANDED_MACES,ONE_HANDED_SCEPTRE,ONE_HANDED_SWORD,TWO_HANDED_SWORD,ONE_HANDED_FIST,TWO_HANDED_AXE,TWO_HANDED_MACE,TWO_HANDED_SPEAR|0|0.23-0.29|0.3-0.36|0.37-0.43|0.44-0.5|0.51-0.63|0.75-0.95|0.96-1.25|PREFIX|0.04|0|ActiveDefense
Minion Health|70|Ursine|HELMET,BODY_ARMOR,BELT,GLOVES,SHIELD,CATALYST,AMULET,RING,RELIC|0.4|0.15-0.35|0.36-0.55|0.56-0.75|0.76-1|1.01-1.5|1.9-2.3|2.31-3|PREFIX|0.973|0|PassiveDefense
Minion Dodge Rating|71|Feline|HELMET,BOOTS,RING,RELIC|0.7|35-65|66-100|101-160|161-250|251-400|500-650|651-1000|PREFIX|0.351|0|PassiveDefense
Increased Damage Over Time|72|Blighted|ONE_HANDED_AXE,ONE_HANDED_DAGGER,ONE_HANDED_MACES,ONE_HANDED_SCEPTRE,ONE_HANDED_SWORD,WAND,ONE_HANDED_FIST,TWO_HANDED_AXE,TWO_HANDED_MACE,TWO_HANDED_SPEAR,TWO_HANDED_STAFF,TWO_HANDED_SWORD,CATALYST,QUIVER,AMULET,RING,RELIC,BOW,CROSSBOW,GLOVES|0|0.06-0.12|0.13-0.21|0.22-0.3|0.31-0.39|0.4-0.6|0.75-0.95|0.96-1.2|PREFIX|0.804|0|OffensiveIncrease
Minion Health Regen|73|Reptilian|HELMET,BELT,RELIC|0.7|6-10|11-20|21-35|36-60|61-90|120-150|151-200|PREFIX|0.932|0|PassiveDefense
Less Damage Taken on Block|74|of the Defender|SHIELD|0.4|-0.04--0.04|-0.05--0.05|-0.06--0.06|-0.07--0.08|-0.09--0.1|-0.13--0.14|-0.15--0.17|SUFFIX|0.713|0|PassiveDefense
Ward and Ailment Cleansing on Potion Use|75|Cleansing|BELT|0.75|20-30|31-40|51-60|61-75|76-100|130-170|171-220|PREFIX|0.649|-0.634|ActiveDefense
Added Melee Void Damage|76|Dark|TWO_HANDED_AXE,TWO_HANDED_MACE,TWO_HANDED_SPEAR,TWO_HANDED_STAFF,TWO_HANDED_SWORD,ONE_HANDED_AXE,ONE_HANDED_DAGGER,ONE_HANDED_MACES,ONE_HANDED_SCEPTRE,ONE_HANDED_SWORD,ONE_HANDED_FIST|0|3-6|7-10|11-15|16-20|21-26|36-44|45-55|PREFIX|0.736|0.12|OffensiveAddition
Added Melee Fire Damage|77|Flaming|TWO_HANDED_AXE,TWO_HANDED_MACE,TWO_HANDED_SPEAR,TWO_HANDED_STAFF,TWO_HANDED_SWORD,ONE_HANDED_AXE,ONE_HANDED_DAGGER,ONE_HANDED_MACES,ONE_HANDED_SCEPTRE,ONE_HANDED_SWORD,ONE_HANDED_FIST|0.25|3-6|7-10|11-15|16-20|21-26|36-44|45-55|PREFIX|0|0|OffensiveAddition
Added Melee Cold Damage|78|Shattering|TWO_HANDED_AXE,TWO_HANDED_MACE,TWO_HANDED_SPEAR,TWO_HANDED_STAFF,TWO_HANDED_SWORD,ONE_HANDED_AXE,ONE_HANDED_DAGGER,ONE_HANDED_MACES,ONE_HANDED_SCEPTRE,ONE_HANDED_SWORD,ONE_HANDED_FIST|0.25|3-6|7-10|11-15|16-20|21-26|36-44|45-55|PREFIX|0.532|0|OffensiveAddition
Added Melee Lightning Damage|79|Hurricane|TWO_HANDED_AXE,TWO_HANDED_MACE,TWO_HANDED_SPEAR,TWO_HANDED_STAFF,TWO_HANDED_SWORD,ONE_HANDED_AXE,ONE_HANDED_DAGGER,ONE_HANDED_MACES,ONE_HANDED_SCEPTRE,ONE_HANDED_SWORD,ONE_HANDED_FIST|0.25|3-6|7-10|11-15|16-20|21-26|36-44|45-55|PREFIX|0.628|0|OffensiveAddition
Elemental Resistance|80|of Insulation|HELMET,BODY_ARMOR,BELT,BOOTS,GLOVES,CATALYST,SHIELD,AMULET,RING,RELIC,QUIVER|0.3|0.04-0.05|0.06-0.08|0.09-0.11|0.12-0.15|0.16-0.2|0.24-0.3|0.31-0.4|SUFFIX|0.866|0|PassiveDefense
Added Block Effectiveness|81|Protective|SHIELD|0|40-80|81-150|151-240|241-350|351-500|700-950|951-1300|PREFIX|0.099|-0.63|PassiveDefense
Extra Potion Slot And Potion Health|82|Nomad's|BELT|0.75|1-1|1-1|1-1|1-1|1-1|2-2|3-3|PREFIX|0.943|0.26|Hybrid
Potion Health Converted to Ward|83|Philosopher's|BELT,GLOVES,RELIC,RING|0.8|0.1-0.14|0.15-0.19|0.2-0.24|0.25-0.29|0.3-0.35|0.5-0.7|0.71-1|PREFIX|0.875|-0.49|ActiveDefense
Increased Spell Crit Chance|84|Witch's|WAND,ONE_HANDED_SCEPTRE,TWO_HANDED_STAFF,AMULET,RELIC,CATALYST|0.6|0.2-0.25|0.26-0.34|0.35-0.43|0.44-0.54|0.55-0.75|0.95-1.15|1.16-1.5|PREFIX|0.895|0.21|OffensiveIncrease
